a | 13
ą | 23
b | 65
c | 11
ć | 99
d | 76
e | 42
ę | 77
f | 66
g | 49
h | 69
i | 96
j | 10
k | 20
l | 88
ł | 21
m | 28
n | 14
ń | 35
o | 56
ó | 63
p | 70
r | 84
s | 91
ś | 98
t | 15
u | 25
w | 40
y | 44
z | 48
ź | 52
ż | 16
0 | 0
1 | 1
2 | 2
3 | 3
4 | 4
5 | 5
6 | 6
7 | 7
8 | 8
9 | 9
A | 78
Ą | 79
B | 62
C | 19
Ć | 81
D | 22
E | 82
Ę | 83
F | 27
G | 29
H | 31
I | 33
J | 34
K | 36
L | 41
Ł | 80
M | 43
N | 46
Ń | 51
O | 85
Ó | 54
P | 57
R | 61
S | 86
Ś | 75
T | 64
U | 74
W | 67
Y | 68
Z | 71
Ź | 72
Ż | 73
  |  
